City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
165,Aykhal,RU,66.0,111.5,-15.57,100,99,6.35,overcast clouds
166,Sterlibashevo,RU,53.4376,55.2578,14.59,97,100,3.29,overcast clouds
167,Vao,NC,-22.6667,167.4833,80.67,83,54,9.91,broken clouds
168,Ayan,RU,56.45,138.1667,5.05,61,91,6.42,overcast clouds
169,Alyangula,AU,-13.8483,136.4192,85.87,74,55,3.44,broken clouds
170,Bowen,AU,-20.0167,148.2333,82.62,55,85,18.52,overcast clouds
171,Sena Madureira,BR,-9.0656,-68.6569,72.84,98,100,1.14,overcast clouds
172,Puerto Del Rosario,ES,28.5004,-13.8627,64.15,88,10,17.27,clear sky
173,Taltal,CL,-25.4,-70.4833,67.86,73,3,4.27,clear sky
174,Atasu,KZ,48.6814,71.6433,25.25,96,100,15.1,light snow
175,Potsdam,DE,52.3989,13.0657,39.11,90,100,4.0,overcast clouds
176,Beringovskiy,RU,63.05,179.3167,-12.82,94,19,5.19,few clouds
177,Chuy,UY,-33.6971,-53.4616,63.37,68,13,16.75,few clouds
178,Sitka,US,57.0531,-135.33,44.49,76,100,10.36,overcast clouds
179,Sal Rei,CV,16.1833,-22.9167,68.56,81,3,13.65,clear sky
180,Yinchuan,CN,38.4681,106.2731,22.33,86,100,3.4,light snow
181,Nikolskoye,RU,59.7035,30.7861,35.87,97,100,8.05,overcast clouds
182,El Alto,PE,-4.2714,-81.2147,69.53,82,31,11.12,scattered clouds
183,Ridgecrest,US,35.6225,-117.6709,61.47,17,0,1.01,clear sky
184,Saint-Francois,FR,46.4154,3.9054,49.44,88,100,14.97,overcast clouds
185,Kaitangata,NZ,-46.2817,169.8464,59.94,78,78,8.25,broken clouds
186,Merauke,ID,-8.4667,140.3333,86.58,64,100,6.6,overcast clouds
187,Olavarria,AR,-36.8927,-60.3225,61.02,87,0,7.72,clear sky
188,Wanning,CN,18.8003,110.3967,74.01,87,59,6.69,broken clouds
189,Namatanai,PG,-3.6667,152.4333,85.93,65,100,6.38,overcast clouds
190,Rocha,UY,-34.4833,-54.3333,63.41,85,100,14.88,overcast clouds
191,Saint Anthony,US,45.0205,-93.218,12.4,69,75,5.01,broken clouds
192,Guozhen,CN,34.3659,107.359,30.38,80,100,4.14,light snow
193,Raudeberg,NO,61.9875,5.1352,39.2,88,100,5.01,overcast clouds
194,Santa Rosa,PH,14.3122,121.1114,83.1,79,100,17.18,overcast clouds
195,Yellowknife,CA,62.456,-114.3525,-1.59,91,75,4.61,light snow
196,Mount Gambier,AU,-37.8333,140.7667,85.91,20,0,12.66,clear sky
197,Hithadhoo,MV,-0.6,73.0833,82.31,70,43,14.9,scattered clouds
198,Cangzhou,CN,38.3167,116.8667,35.13,32,99,1.25,overcast clouds
199,Kenai,US,60.5544,-151.2583,28.15,92,75,3.44,broken clouds
200,Neuquen,AR,-38.9516,-68.0591,76.53,18,0,11.21,clear sky
201,Codrington,AU,-38.2667,141.9667,83.23,28,0,9.04,clear sky
202,Half Moon Bay,US,37.4636,-122.4286,63.77,64,0,1.01,clear sky
203,Harper,LR,4.375,-7.7169,78.94,83,100,6.35,overcast clouds
204,Lagoa,PT,39.05,-27.9833,59.65,85,7,15.75,clear sky
205,Bilibino,RU,68.0546,166.4372,-10.53,78,17,3.96,few clouds
206,Ryotsu,JP,38.0833,138.4333,36.27,56,100,14.83,overcast clouds
207,Kruisfontein,ZA,-34.0033,24.7314,66.88,66,0,2.39,clear sky
208,Abha,SA,18.2164,42.5053,50.34,88,21,3.49,few clouds
209,Berlevag,NO,70.8578,29.0864,19.38,86,53,21.03,broken clouds
210,Karratha,AU,-20.7377,116.8463,89.65,60,50,9.26,scattered clouds
211,Fairbanks,US,64.8378,-147.7164,-2.9,78,100,2.73,overcast clouds
212,Sao Sepe,BR,-30.1606,-53.5653,60.35,68,0,3.33,clear sky
213,Muros,ES,42.7762,-9.0603,51.24,91,24,8.84,few clouds
214,Rassvet,RU,46.8333,40.75,32.31,100,97,11.18,overcast clouds
215,Ancud,CL,-41.8697,-73.8203,60.33,87,5,3.74,clear sky
216,Payson,US,40.0444,-111.7321,36.27,55,1,0.2,clear sky
217,Cabo San Lucas,MX,22.8909,-109.9124,67.14,68,0,2.59,clear sky
218,Dasoguz,TM,41.8363,59.9666,30.31,61,78,7.47,broken clouds
219,Gobabis,NA,-22.45,18.9667,67.75,61,53,6.87,broken clouds
220,Najran,SA,17.4924,44.1277,51.37,58,26,3.33,scattered clouds
221,Norman Wells,CA,65.282,-126.8329,-12.96,70,100,19.57,light snow
222,Kamina,CD,-8.7386,24.9906,63.55,97,100,4.56,overcast clouds
223,Itainopolis,BR,-7.4469,-41.4783,73.54,80,87,2.84,overcast clouds
224,Mecca,SA,21.4267,39.8261,63.7,48,0,2.73,clear sky
225,Agogo,GH,6.8,-1.0819,71.19,91,69,3.04,broken clouds
226,Ponta Do Sol,PT,32.6667,-17.1,63.23,67,5,10.47,clear sky
227,Hov,NO,60.6987,10.3519,21.09,94,49,4.05,scattered clouds
228,Yarada,IN,17.65,83.2667,64.72,100,20,2.3,mist
229,Esperance,AU,-33.8667,121.9,67.42,53,27,26.98,scattered clouds
230,Kerman,IR,30.2832,57.0788,41.74,46,0,3.0,clear sky
231,Kangaatsiaq,GL,68.3065,-53.4641,7.84,86,100,24.25,overcast clouds
232,Puksoozero,RU,62.5903,40.6066,9.1,94,98,8.08,overcast clouds
233,Kavieng,PG,-2.5744,150.7967,83.43,72,69,3.09,broken clouds
234,Vardo,NO,70.3705,31.1107,23.2,82,70,20.45,broken clouds
235,Nicoya,CR,10.1483,-85.452,75.83,69,4,8.66,clear sky
236,Bagdarin,RU,54.4333,113.6,1.02,84,74,1.68,broken clouds
237,Cherskiy,RU,68.75,161.3,-27.71,99,23,0.34,few clouds
238,Vorontsovka,RU,50.6132,40.3549,18.75,98,90,6.78,overcast clouds
239,Naze,JP,28.3667,129.4833,53.71,59,100,3.6,overcast clouds
240,Bessonovka,RU,53.3097,45.0407,9.95,98,99,3.31,overcast clouds
241,Kosh-Agach,RU,50.0,88.6667,-26.19,78,61,2.44,broken clouds
242,Douglas,US,41.3,-96.167,34.9,54,0,3.0,clear sky
243,Carutapera,BR,-1.195,-46.02,75.85,93,100,4.47,overcast clouds
244,Georgetown,MY,5.4112,100.3354,80.89,81,20,0.0,few clouds
245,Erzin,TR,36.9559,36.2,38.12,74,0,3.71,clear sky
246,Alta Floresta,BR,-9.8756,-56.0861,72.39,96,94,1.54,light rain
247,Irituia,BR,-1.7711,-47.4381,73.53,98,100,2.48,light rain
248,Beyneu,KZ,45.3167,55.2,29.12,85,97,6.98,overcast clouds
249,Komsomolskiy,UZ,40.4272,71.7189,38.12,87,100,4.61,overcast clouds
250,Provideniya,RU,64.3833,-173.3,3.31,66,0,8.95,clear sky
251,Shimoda,JP,34.6667,138.95,43.11,86,99,1.52,overcast clouds
252,Tasiilaq,GL,65.6145,-37.6368,23.16,54,100,56.8,light snow
253,Camopi,GF,3.1655,-52.3158,71.85,99,100,1.88,light rain
254,Shiraz,IR,29.6036,52.5388,38.16,38,0,3.65,clear sky
255,Colares,PT,38.7992,-9.4469,53.8,52,1,5.01,clear sky
256,Hazorasp,UZ,41.3194,61.0742,30.04,62,41,6.64,scattered clouds
257,Torbay,CA,47.6666,-52.7314,12.58,78,71,3.0,broken clouds
258,Victoria,HK,22.2855,114.1577,66.18,90,100,17.0,overcast clouds
259,Kawalu,ID,-7.3817,108.2082,79.95,75,100,3.62,overcast clouds
260,Padang,ID,-0.9492,100.3543,78.85,72,100,1.05,moderate rain
261,Portland,US,45.5234,-122.6762,53.04,78,32,1.01,scattered clouds
262,Palmer,US,42.1584,-72.3287,21.85,81,50,1.83,scattered clouds
263,Geraldton,AU,-28.7667,114.6,75.61,38,40,18.41,scattered clouds
264,Dunedin,NZ,-45.8742,170.5036,63.81,63,100,4.0,overcast clouds
265,Roros,NO,62.5747,11.3842,24.64,74,75,11.5,broken clouds
266,Coromandel,BR,-18.4733,-47.2003,64.76,98,100,1.86,moderate rain
267,Mandalgovi,MN,45.7625,106.2708,6.85,62,8,3.31,clear sky
268,Aguimes,ES,27.9054,-15.4461,61.43,77,20,20.71,few clouds
269,Salalah,OM,17.0151,54.0924,68.58,28,83,15.17,broken clouds
270,Seddon,AU,-37.8068,144.8916,85.6,44,0,5.99,clear sky
271,Arraial Do Cabo,BR,-22.9661,-42.0278,75.79,90,0,20.27,clear sky
272,Fort Nelson,CA,58.8053,-122.7002,31.69,80,100,4.16,overcast clouds
273,Mogadishu,SO,2.0371,45.3438,76.03,77,53,19.66,broken clouds
274,Isangel,VU,-19.55,169.2667,82.51,94,100,1.14,drizzle
275,Paracuru,BR,-3.41,-39.0306,82.11,79,0,7.67,clear sky
276,Lukaya,UG,-0.1489,31.8748,63.88,86,100,4.56,overcast clouds
277,Simao,CN,22.7886,100.9748,54.95,83,8,2.46,clear sky
278,Bintulu,MY,3.1667,113.0333,77.49,89,100,5.53,overcast clouds
279,Byron Bay,AU,-28.65,153.6167,78.75,67,77,17.45,broken clouds
280,Muli,MV,2.9167,73.5667,81.45,63,14,11.41,few clouds
281,San Pedro,PH,14.35,121.0167,82.35,78,75,3.44,broken clouds
282,Roseburg,US,43.2165,-123.3417,53.51,77,3,1.36,clear sky
283,Umm Kaddadah,SD,13.6017,26.6876,53.31,29,82,14.29,broken clouds
284,Fallon,US,39.4735,-118.7774,44.46,32,0,1.86,clear sky
285,Abidjan,CI,5.3094,-4.0197,78.76,94,40,3.44,scattered clouds
286,Sangar,RU,63.9242,127.4739,-29.27,93,98,2.39,overcast clouds
287,Bodden Town,KY,19.2833,-81.25,77.94,84,75,1.99,broken clouds
288,Brainerd,US,46.358,-94.2008,3.49,95,27,6.78,scattered clouds
289,Belyy Yar,RU,53.6039,91.3903,-2.31,78,100,2.24,mist
290,Kasongo,CD,-4.45,26.6667,65.17,99,100,4.81,light rain
291,Bartica,GY,6.4,-58.6167,73.35,98,100,2.13,light rain
292,Lufilufi,WS,-13.8745,-171.5986,85.78,76,100,17.74,light rain
293,Zhigansk,RU,66.7697,123.3711,-32.46,100,92,3.94,overcast clouds
294,Tacuarembo,UY,-31.7333,-55.9833,58.82,56,0,6.85,clear sky
295,Srednekolymsk,RU,67.45,153.6833,-26.46,96,36,1.54,scattered clouds
296,Mantua,IT,45.1667,10.7833,43.43,92,3,7.0,clear sky
297,Huilong,CN,31.8111,121.655,41.04,96,100,14.0,light rain
298,Namibe,AO,-15.1961,12.1522,72.68,69,94,8.48,overcast clouds
299,Constantine,DZ,36.365,6.6147,38.61,93,20,1.14,few clouds
300,Odweyne,SO,9.4092,45.064,62.24,74,96,8.43,overcast clouds
301,Beroroha,MG,-21.6667,45.1667,76.01,78,100,16.26,overcast clouds
302,Poniatowa,PL,51.1798,22.1309,39.42,88,100,17.18,overcast clouds
303,Tashir,AM,41.1207,44.2846,12.34,71,54,6.62,broken clouds
304,Comodoro Rivadavia,AR,-45.8667,-67.5,66.69,58,7,3.85,clear sky
305,Fare,PF,-16.7,-151.0167,80.87,74,77,19.17,light rain
306,Parry Sound,CA,45.3501,-80.033,26.22,93,100,10.2,overcast clouds
307,Rongcheng,CN,30.634,117.8517,34.56,100,100,3.56,snow
308,Pakxan,LA,18.3778,103.6601,80.02,65,83,3.6,broken clouds
309,Mahibadhoo,MV,3.7833,72.9667,80.98,65,65,10.54,broken clouds
310,Tabuk,PH,17.4189,121.4443,71.98,89,100,1.95,overcast clouds
311,Anadyr,RU,64.75,177.4833,-16.1,76,74,6.71,fog
312,Raga,SS,8.4596,25.678,61.74,22,39,5.06,scattered clouds
313,Narsaq,GL,60.9167,-46.05,8.82,81,100,8.08,overcast clouds
314,Gola Bazar,IN,26.3431,83.3553,50.76,82,0,2.46,clear sky
315,Yerbogachen,RU,61.2767,108.0108,-10.62,99,98,2.66,overcast clouds
316,Presidente Medici,BR,-11.1753,-61.9014,72.95,97,99,4.0,overcast clouds
317,Poum,NC,-20.2333,164.0167,81.61,85,100,21.36,overcast clouds
318,Ulcinj,ME,41.9294,19.2244,49.41,84,54,4.07,broken clouds
319,Evensk,RU,61.95,159.2333,5.04,72,0,6.96,clear sky
320,Goderich,CA,43.7501,-81.7165,28.9,88,100,16.67,overcast clouds
321,Agua Verde,MX,22.9,-106.05,70.03,73,54,11.88,broken clouds
322,Lethem,GY,3.3803,-59.7968,77.97,76,98,7.85,heavy intensity rain
323,Roebourne,AU,-20.7833,117.1333,88.83,62,65,8.99,broken clouds
324,Acapulco,MX,16.8634,-99.8901,78.24,71,2,9.48,clear sky
325,Port Lincoln,AU,-34.7333,135.8667,79.43,48,0,17.78,clear sky
326,Faanui,PF,-16.4833,-151.75,81.23,74,100,18.9,light rain
327,Yurino,RU,56.2942,46.3039,6.12,100,90,3.96,overcast clouds
328,Langarud,IR,37.197,50.1535,45.18,74,100,1.54,overcast clouds
329,Matara,LK,5.9485,80.5353,77.36,81,100,3.71,overcast clouds
330,Lakes Entrance,AU,-37.8811,147.981,69.17,63,1,10.38,clear sky
331,Pundaguitan,PH,6.3711,126.1689,80.42,78,61,18.75,broken clouds
332,Daru,PG,-9.0763,143.2092,84.92,72,100,4.5,overcast clouds
333,Orsha,BY,54.5153,30.4053,31.8,95,100,15.59,overcast clouds
334,Brodnica,PL,53.2597,19.3965,42.26,73,100,17.45,overcast clouds
335,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.27,97,95,1.01,overcast clouds
336,Dryden,CA,49.7833,-92.7503,-4.54,100,61,2.64,broken clouds
337,Mehamn,NO,71.0357,27.8492,18.37,84,86,13.18,overcast clouds
338,Mountain Home,US,43.133,-115.6912,31.78,88,15,6.31,few clouds
339,Hakui,JP,36.8833,136.7833,40.24,71,99,6.6,overcast clouds
340,Amposta,ES,40.7131,0.581,54.54,56,3,7.0,clear sky
341,Port Elizabeth,ZA,-33.918,25.5701,69.1,73,37,2.95,scattered clouds
342,Kudahuvadhoo,MV,2.6708,72.8944,81.23,64,24,11.1,few clouds
343,Homer,US,59.6425,-151.5483,27.77,95,100,11.95,overcast clouds
344,Karangampel,ID,-6.4622,108.4519,77.68,88,100,9.86,moderate rain
345,Inirida,CO,3.8653,-67.9239,77.31,82,87,1.05,overcast clouds
346,Salekhard,RU,66.53,66.6019,-22.95,100,100,1.5,overcast clouds
347,Bucerias,MX,20.75,-105.3333,73.38,83,75,8.05,broken clouds
