City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
387,Mecca,SA,70.47,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
390,Kununurra,AU,75.18,broken clouds,-15.7667,128.7333,Hotel Kununurra
393,Itarema,BR,86.77,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
394,Jawhar,SO,76.51,scattered clouds,2.7809,45.5005,hantiwadaag village part one
398,Labuhan,ID,78.4,overcast clouds,-6.8844,112.2051,DoubleFAG
399,Inirida,CO,86.18,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
403,Cotorra,CO,89.58,clear sky,9.0389,-75.7897,RANCHO DE LUCIA
405,Guarapari,BR,87.69,clear sky,-20.6667,-40.4975,Hotel Porto do Sol
409,Cockburn Town,TC,76.17,few clouds,21.4612,-71.1419,Osprey Beach Hotel
410,Trairi,BR,86.22,broken clouds,-3.2778,-39.2689,janelas do mar
412,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
414,Coihaique,CL,77.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
416,Kyaikto,MM,74.84,broken clouds,17.3,97.0167,နီလာ တည်းခိုခန်း
420,Mongo,TD,80.29,few clouds,12.1844,18.693,Résidences du Programme FIDA
423,Kiunga,PG,72.59,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
436,Balabac,PH,80.47,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
437,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
449,Candelaria,PH,77.4,overcast clouds,13.9311,121.4233,Casa de Provincia
450,Yenagoa,NG,89.37,clear sky,4.9247,6.2642,Aridolf Resort Wellness and Spa
452,Bang Saphan,TH,74.77,overcast clouds,11.2126,99.5117,Ladawan Boutique Hotel
455,Lamu,KE,80.82,broken clouds,-2.2717,40.902,Lamu House
460,Bombay,IN,75.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
463,Carutapera,BR,81.09,moderate rain,-1.195,-46.02,Lidera
464,Atar,MR,91.49,clear sky,20.5169,-13.0499,Oumou Elghoura
470,Baracoa,CU,77.25,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
473,Gorontalo,ID,73.76,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
478,Kloulklubed,PW,77.5,moderate rain,7.0419,134.2556,Storyboard Beach Resort
479,Belmonte,BR,86.0,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
480,Kirakira,SB,80.89,overcast clouds,-10.4544,161.9205,SanBiz Lodge
481,Voh,NC,77.05,overcast clouds,-20.9667,164.7,Le gîte du Koniambo
483,Takaungu,KE,78.78,overcast clouds,-3.6837,39.8566,Takaungu House
489,Nagapattinam,IN,77.4,overcast clouds,10.7667,79.8333,Sathya Lodge
490,Vanimo,PG,77.97,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
496,Sambava,MG,77.56,scattered clouds,-14.2667,50.1667,Melrose
499,Hambantota,LK,76.32,overcast clouds,6.1241,81.1185,Bungalow 63
501,Linhares,BR,87.57,scattered clouds,-19.3911,-40.0722,Hotel Conceição
508,Carauari,BR,79.97,overcast clouds,-4.8828,-66.8958,Hotel Fellip
509,Prabumulih,ID,74.25,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
511,Porangatu,BR,81.91,overcast clouds,-13.4408,-49.1486,Wembley Park Hotel
513,Iquitos,PE,89.64,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
518,Sao Fidelis,BR,87.75,scattered clouds,-21.6461,-41.7469,Hotel São José
519,Wamba,NG,91.0,few clouds,8.9333,8.6,Roma Zee Guest House Annex
521,Buluang,PH,72.66,few clouds,13.3068,123.3425,Enon Beach Resort
522,Biu,NG,80.01,clear sky,10.6129,12.1946,Emir's Palace
523,Ilhabela,BR,81.97,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
529,Puerto Quijarro,BO,92.73,overcast clouds,-17.7833,-57.7667,Hotel palance
531,Madang,PG,76.12,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
532,Maningrida,AU,77.38,broken clouds,-12.0667,134.2667,Dhukurrdji Lodge
534,Sao Felix Do Xingu,BR,87.17,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
539,Nacala,MZ,80.42,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
541,Bilma,NE,70.41,clear sky,18.6853,12.9164,Expeditions Ténére voyages
543,Sangmelima,CM,83.32,scattered clouds,2.9333,11.9833,gamestar hotel
544,Sao Joao Da Barra,BR,87.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
545,Kahului,US,73.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
547,Sal Rei,CV,75.4,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
548,Bull Savanna,JM,79.66,clear sky,17.8868,-77.5902,Big Red's
551,Talcahuano,CL,76.68,clear sky,-36.7167,-73.1167,departamento comodo
552,Campana,AR,71.06,clear sky,-34.1687,-58.9591,Hotel Morada Suites
555,Viedma,AR,72.81,few clouds,-40.8135,-62.9967,Hotel Cristal
558,Port-Gentil,GA,80.62,clear sky,-0.7193,8.7815,Fengshui Residence
559,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
560,Isiro,CD,73.26,overcast clouds,2.7739,27.616,Guest House Hewa Bora
561,Imbituba,BR,84.09,scattered clouds,-28.24,-48.6703,Praia Hotel Imbituba
562,Takoradi,GH,82.76,broken clouds,4.8845,-1.7554,Raybow International Hotel
564,Sangareddi,IN,71.01,clear sky,17.6294,78.0917,OYO 73247 Cgr Manjeera
570,Lazaro Cardenas,MX,84.0,clear sky,17.9583,-102.2,quinta antigua
572,Honiara,SB,78.58,overcast clouds,-9.4333,159.95,Heritage Park Hotel
573,Nsanje,MW,75.13,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
576,Puerto Narino,CO,89.55,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
577,Davila,PH,74.26,scattered clouds,18.4726,120.5763,Blue Ridge Beach Resort
582,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
583,Biak,ID,75.99,overcast clouds,-0.9131,122.8766,Penginapan Kim
584,El Cobre,CU,80.04,scattered clouds,20.0489,-75.9469,Hotel El Cobre
587,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Euronova Freezer
589,Nizwa,OM,70.0,clear sky,22.9333,57.5333,Orient Apartments
592,San Luis,AR,76.28,clear sky,-33.295,-66.3356,Huarpes Hotel
597,Kakinada,IN,71.01,scattered clouds,16.9333,82.2167,Royal Park
598,Mahibadhoo,MV,82.17,few clouds,3.7833,72.9667,Omadhoo Inn
601,Poso,ID,77.77,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
602,Ancud,CL,78.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
605,Bouloupari,NC,75.11,overcast clouds,-21.8667,166.05,Oua-Ya Lodge
609,Malanje,AO,71.6,broken clouds,-9.5402,16.341,Hotel Ginga
611,Kilindoni,TZ,81.46,overcast clouds,-7.9139,39.6668,Bustani B&B
615,Mount Isa,AU,74.97,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
617,Isabela,PH,78.24,overcast clouds,6.7085,121.9711,Isawad Resort
618,Zastron,ZA,73.87,broken clouds,-30.3023,27.084,Highlands Guest House
621,Noumea,NC,75.18,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
623,George,ZA,81.95,clear sky,-33.963,22.4617,Protea Hotel by Marriott George King George
625,Sao Bernardo,BR,86.56,broken clouds,-3.3614,-42.4178,Hotel Prado
627,Eydhafushi,MV,81.73,broken clouds,5.1033,73.0708,Soneva Fushi
628,Natal,BR,90.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
